Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S.2016.D10.S22,groencompost,plant,Compost-2,24.8,10.4,20.1,704,6.791358931,16,8.3,1490,17,57,3.1,62,160,3.3,280,10,144,32,219,21,630,2.6,1120,5.7,0.2,4.4,72,2.1,262,3730,9,87,3020,4,,19
16S.2017.D10.S22,GFTcompost,plant,Compost-1,3.4,4.6,24.8,770,,12,6.8,1180,18,43,1.7,51,166,1.8,210,6,143,29,206,21,530,2.6,670,5.4,0.2,3.7,66,2.1,724,3215,14,82,3020,4,,12
16S.2016.D11.S23,groencompost,plant,Compost-2,17.2,6.5,21.5,744,6.043689135,16,8.3,1340,22,30,3,62,191,3.4,280,7,165,37,288,21,780,3,910,5.8,0.2,5,83,2.1,360,4155,7,87,3350,4,,22
16S.2017.D11.S23,fase3eind,manure-chitin,Mushroom_compost,49.6,8.1,28.3,826,,15.5,26,1220,19,41,1.8,47,249,2.3,200,4,168,29,131,33,630,2.6,800,5.6,0.2,4.1,78,3.2,503,3970,13,83,3190,4,,9
16S.2016.D12.S24,groencompost,plant,Compost-2,18.3,28.9,25.9,856,5.69608587,16,8.3,1480,18,53,3.3,59,185,2.9,260,7,163,37,289,21,840,6.4,1120,5.6,0.2,4.7,79,2.1,259,4095,8,87,3510,4,,16
16S.2017.D12.S24,biomassavers,plant,Biomass,10.6,11.3,33.1,836,,25,9.8,980,24,17,1,42,144,1.8,220,6,164,16,108,21,1260,2.6,550,5.9,0.2,4,46,2.1,292,2655,15,81,3310,4,,14
16S.2016.E01.S25,Biophosphate,manure,Biophosphate,16.3,14.7,3,461,3.447432765,15.9,13.1,720,19,25,30.6,55,119,3.5,270,17,98,33,209,23,390,2.6,210,6.8,0.8,2.4,60,2.1,505,3335,0,97,6620,4,,19
16S.2017.E01.S25,CaNO3,control,Control+N,7.8,5.8,2.3,553,,,,680,15,32,1.8,36,17,1,250,18,19,6,114,20,250,2.6,100,7.2,4.7,1.7,49,2.1,29,3305,3,91,7950,4,,13
16S.2016.E02.S26,Biophosphate,manure,Biophosphate,12,14.8,9.5,391,8.680680929,15.9,13.1,770,18,29,39.4,63,130,2.4,330,23,119,38,223,27,370,2.6,240,6.8,0.9,2.4,61,2.1,589,3605,7,90,7710,4,,14
16S.2017.E02.S26,KeraproChamplus,keratin,Kerapro_slow_release,5,23.4,32.6,403,,3.6,23.1,570,13,32,1.7,34,23,1,190,14,20,5,83,76,550,2.6,130,7.3,4.9,1.3,46,2.1,117,3210,2,92,9250,4,,13
16S.2016.E03.S27,Biophosphate,manure,Biophosphate,16.4,14.5,3.9,328,2.47277739,15.9,13.1,590,22,15,32.3,50,114,2.9,330,23,91,29,154,28,330,2.6,220,6.8,1.3,2.2,55,2.1,762,3205,4,93,8910,4,,15
16S.2017.E03.S27,Keratinemengsel,keratin,Keratin_mix,11.1,18.5,31.8,374,,3.3,27.5,670,13,37,1.6,36,20,1,300,24,18,7,76,88,540,2.6,100,7.2,4.6,1.5,41,2.1,116,2750,7,87,8570,4,,15
16S.2016.E04.S28,Biophosphate,manure,Biophosphate,18.9,13.4,8.8,389,4.489693147,15.9,13.1,820,16,37,34.5,59,132,3.7,300,20,111,35,194,25,330,2.6,200,6.8,0.9,2.3,56,2.1,450,3115,5,92,7210,4,,20
16S.2017.E04.S28,groencompost,plant,Compost-2,9,6.7,3.3,439,,16.6,3.7,750,14,38,2.7,41,110,2.1,250,17,37,20,144,33,310,2.6,160,7.2,5.3,1.8,52,2.1,487,3295,1,92,10400,5,,17
16S.2016.E05.S29,controle,control,control,36.8,9.3,12.1,667,2.88946143,,,1310,19,42,2.9,58,110,2.3,240,7,140,31,180,21,640,2.8,1440,5.5,0.2,4.2,66,2.1,316,3525,8,88,3030,4,,18
16S.2017.E05.S29,zaadmeel,seeds,Terrafit_Biofum,29,18.6,43.9,510,,9.1,4.9,930,12,53,1.5,36,44,1.8,320,24,32,6,80,42,370,2.6,110,7.4,5.3,1.9,49,2.1,257,2925,2,91,8100,4,,17
16S.2016.E06.S30,controle,control,control,23.1,5,11.1,642,3.592299925,,,1380,18,50,2.5,57,113,2.1,250,7,146,32,206,21,520,2.6,2170,5.5,0.2,4.4,75,2.1,131,4110,9,87,3030,4,,17
16S.2017.E06.S30,haar/hoefmeel,keratin,Hair_meal,3.9,12.8,33.1,430,,3.4,24.4,870,11,52,1.5,33,17,1.1,260,19,18,5,76,92,250,2.6,130,7.3,4.9,1.6,49,2.1,115,3320,0,93,9440,4,,7
16S.2016.E07.S25,controle,control,control,28.6,3.8,10.8,628,3.648589151,,,1250,20,37,3.2,56,110,2.2,250,7,149,30,208,21,480,2.6,1470,5.5,0.2,4.3,70,2.1,342,3665,9,87,3020,4,,16
16S.2017.E07.S25,CaNO3,control,Control+N,4.8,7,8.4,629,,,,1110,22,26,1.2,44,51,2,190,2,187,7,155,21,250,2.6,490,5.6,0.2,4.2,71,2.1,343,3825,9,87,3100,4,,17
16S.2016.E08.S26,controle,control,control,32.6,3.9,12.7,654,5.655758888,,,1200,20,35,2.1,55,102,2.2,240,7,149,20,198,21,390,2.6,1010,5.6,0.2,4.1,66,2.1,132,3480,7,89,3020,4,,16
16S.2017.E08.S26,KeraproChamplus,keratin,Kerapro_slow_release,11.6,15.1,31.3,716,,3.6,23.1,1420,17,54,1.1,43,53,1.8,210,5,200,9,103,21,340,3.3,700,5.5,0.2,4.1,66,2.1,397,3440,10,86,3020,4,,17
16S.2016.E09.S27,fase3eind,manure-chitin,Mushroom_compost,173.5,8.9,45.7,1071,15.77254166,13.5,35.4,1480,17,57,3.8,61,358,4,430,23,180,57,244,38,1530,4,1100,5.9,0.2,4.4,83,8.2,995,4415,10,86,3230,4,,9
16S.2017.E09.S27,Keratinemengsel,keratin,Keratin_mix,4.8,8.7,27,890,,3.3,27.5,1360,17,54,1.3,46,41,2.4,220,5,158,10,175,20,880,2.9,1390,5.4,0.2,4.1,64,2.1,265,3305,13,83,3020,4,,10
16S.2016.E10.S28,fase3eind,manure-chitin,Mushroom_compost,151.3,13.2,42.7,1186,18.01528934,13.5,35.4,1560,17,60,4.3,63,379,3.3,370,17,186,57,248,49,1500,4.3,1170,6,0.2,4.6,79,7.8,859,4020,7,88,4180,4,,8
16S.2017.E10.S28,groencompost,plant,Compost-2,6,4.9,20.7,806,,16.6,3.7,1240,18,45,1.6,49,150,1.9,190,4,124,21,195,21,1150,2.6,810,5.3,0.2,3.9,65,2.1,160,3195,10,86,3020,4,,6
16S.2016.E11.S29,fase3eind,manure-chitin,Mushroom_compost,172.3,12.6,46,1143,17.21443719,13.5,35.4,1450,18,50,4.4,61,386,4.2,370,18,191,57,251,56,1720,5.1,1210,5.9,0.2,4.4,78,8,759,4035,9,87,4890,4,,17
16S.2017.E11.S29,zaadmeel,seeds,Terrafit_Biofum,13.9,9.5,44.3,847,,9.1,4.9,1490,17,57,1.2,46,90,2.2,160,1,182,7,119,21,560,2.6,620,5.5,0.2,4.4,75,2.1,183,3865,11,85,3020,4,,11
