Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S.2017.G10.S40,groencompost,plant,Compost-2,18.3,3.5,21.7,854,,16.6,3.7,1270,18,46,1.3,46,158,2.1,230,7,165,23,189,21,670,2.6,440,5.4,0.2,4,69,2.1,743,3385,9,86,3020,4,,11
16S.2016.G11.S41,biomassavers,plant,Biomass,27.3,19,39,839,6.033096194,11.1,38.7,1300,19,42,4.5,61,321,2.3,230,6,151,64,215,21,1310,2.6,1400,5.6,0.2,4.2,65,2.1,395,3380,8,88,6160,4,,18
16S.2017.G11.S41,zaadmeel,seeds,Terrafit_Biofum,13.9,15.7,61,776,,9.1,4.9,1490,17,56,1.2,44,91,2,220,5,194,7,119,21,530,2.6,540,5.9,0.2,4.3,73,2.1,578,3480,17,79,3020,4,,10
16S.2016.G12.S42,biomassavers,plant,Biomass,20,16.5,32.5,829,6.076267622,11.1,38.7,1210,21,32,3.6,63,285,2.8,230,6,143,61,207,21,1320,2.6,1250,5.7,0.2,4.3,71,2.1,394,3745,9,87,5900,4,,20
16S.2017.G12.S42,haar/hoefmeel,keratin,Hair_meal,5.3,6.9,35.1,734,,3.4,24.4,1440,17,54,1.3,46,53,1.9,190,3,166,8,115,25,430,2.6,990,5.6,0.2,4.1,69,2.1,688,3305,17,78,3020,4,,5
16S.2016.H01.S43,groencompost,plant,Compost-2,10.3,17.8,5,434,2.398733333,16,8.3,780,17,32,2.7,26,101,1.7,330,23,36,14,128,24,250,2.6,190,7.2,0.6,2.3,51,2.1,28,3165,2,95,8660,4,,13
16S.2017.H01.S43,CaNO3,control,Control+N,7.2,13.2,3.5,464,,,,830,11,52,1.8,36,17,0.9,310,24,20,6,120,27,250,2.6,120,7.2,5.1,1.6,54,2.1,144,3680,1,91,8180,4,,19
16S.2016.H02.S44,groencompost,plant,Compost-2,9.5,16.5,7.7,473,3.316687245,16,8.3,740,16,32,2.5,28,104,2.3,310,23,37,15,130,24,250,2.6,180,7.2,0.6,2,55,2.1,85,3370,5,92,8080,4,,16
16S.2017.H02.S44,KeraproChamplus,keratin,Kerapro_slow_release,2.5,12.7,30.4,415,,3.6,23.1,650,12,40,1.9,36,22,1.4,210,15,21,5,76,21,480,2.6,100,7.3,4.9,1.4,45,2.1,291,3050,5,89,3020,4,,18
16S.2016.H03.S45,groencompost,plant,Compost-2,7.7,9.1,2.9,436,2.465605095,16,8.3,640,18,25,2.7,28,91,1.9,280,20,33,13,115,25,260,2.6,220,7.1,0.9,2,48,2.1,57,2985,3,94,9040,4,,13
16S.2017.H03.S45,Keratinemengsel,keratin,Keratin_mix,14.9,20.2,46.7,396,,3.3,27.5,740,10,49,1.7,36,20,1.1,250,20,18,7,76,131,540,2.6,150,7.2,4.5,1.3,41,2,233,2770,4,89,11480,4,,8
16S.2016.H04.S46,groencompost,plant,Compost-2,15.4,17.9,11.3,475,2.214819298,16,8.3,670,17,28,2.8,26,95,2.1,360,27,33,13,111,27,290,2.6,240,7.2,0.6,2,54,2.1,114,3415,4,93,10320,4,,14
16S.2017.H04.S46,groencompost,plant,Compost-2,7.1,22.8,1.3,489,,16.6,3.7,830,12,48,2.5,37,113,2,270,19,38,20,123,35,250,2.6,130,6.9,5,1.7,53,2.1,374,3020,0,93,9730,6,,15
16S.2016.H05.S47,KeraproChamplus,keratin,Kerapro_slow_release,29.1,14.4,29.5,669,6.672835831,3.5,19.2,1340,20,39,2.8,56,110,2,270,8,179,34,218,21,1050,3.4,1700,5.4,0.2,4.6,70,2.1,338,3620,5,90,3020,4,,12
16S.2017.H05.S47,zaadmeel,seeds,Terrafit_Biofum,24.3,22.4,55.6,598,,9.1,4.9,980,9,70,1.8,34,47,1.9,270,21,33,6,79,85,330,2.6,140,7.1,4.9,1.6,46,2.1,87,2960,1,93,9970,4,,18
16S.2016.H06.S48,KeraproChamplus,keratin,Kerapro_slow_release,19.2,20,35,631,5.929441353,3.5,19.2,1500,18,53,3.9,59,104,2.3,300,10,165,23,220,24,1230,3.8,1690,5.5,0.2,4.7,72,2.1,311,3420,6,89,3330,4,,9
16S.2017.H06.S48,haar/hoefmeel,keratin,Hair_meal,10.8,22.6,33.9,485,,3.4,24.4,950,9,66,1.5,36,18,1.1,320,26,18,6,76,171,380,2.6,150,7.3,5.8,1.5,44,2.1,174,2970,0,93,10300,4,,10
16S.2016.H07.S43,KeraproChamplus,keratin,Kerapro_slow_release,21.4,13.9,32.8,684,7.200011354,3.5,19.2,1510,17,57,3.3,61,108,2.1,290,11,146,27,190,21,1440,3.4,1340,5.4,0.2,4.4,68,2.1,314,3455,8,87,3020,4,,14
16S.2017.H07.S43,CaNO3,control,Control+N,6.2,7,7,641,,,,1080,21,30,1.1,44,42,1.8,190,3,151,6,160,21,400,2.6,820,5.4,0.2,4,60,2.1,451,3250,12,84,3020,4,,10
16S.2016.H08.S44,KeraproChamplus,keratin,Kerapro_slow_release,18.9,19.8,29.5,737,5.986263721,3.5,19.2,1460,18,51,3.3,58,120,2,270,8,168,29,217,21,1450,4.4,1760,5.4,0.2,4.5,67,2.1,339,3380,6,90,3020,4,,8
16S.2017.H08.S44,KeraproChamplus,keratin,Kerapro_slow_release,10.2,12.9,34.3,790,,3.6,23.1,1230,20,36,1.5,48,50,2.4,220,5,208,9,116,21,530,2.6,640,5.5,0.2,4.2,72,2.1,501,3890,11,85,3020,4,,12
16S.2016.H09.S45,haar/hoefmeel,keratin,Hair_meal,29.9,20.3,40.4,640,5.340258496,3.2,24,1410,18,50,2.7,55,94,2.1,260,8,149,25,206,22,1050,3.3,1570,5.5,0.2,4.4,66,2.1,367,3470,7,89,3020,4,,15
16S.2017.H09.S45,Keratinemengsel,keratin,Keratin_mix,2.5,9.7,28.8,719,,3.3,27.5,1420,17,55,1.3,48,59,1.9,260,9,200,9,132,24,380,3,760,5.5,0.2,4.2,74,2.1,369,3955,10,86,3020,4,,9
16S.2016.H10.S46,haar/hoefmeel,keratin,Hair_meal,22.6,18.9,36.7,654,6.025333559,3.2,24,1440,18,51,2.8,56,87,2.4,290,10,150,26,200,21,1020,3.3,1610,5.5,0.2,4.5,73,2.1,418,3900,8,88,3020,4,,20
16S.2017.H10.S46,groencompost,plant,Compost-2,10.1,10,23.3,859,,16.6,3.7,1290,18,47,1.4,46,158,3.3,210,5,153,22,186,21,650,2.6,520,5.4,0.2,4.1,75,2.1,370,3440,7,89,3020,4,,9
16S.2016.H11.S47,haar/hoefmeel,keratin,Hair_meal,21,14.5,38,676,6.861862425,3.2,24,1350,19,43,2.6,56,94,1.9,240,6,162,26,206,20,960,3.1,1510,5.4,0.2,4.4,63,2.1,288,3070,7,89,3020,4,,20
16S.2017.H11.S47,zaadmeel,seeds,Terrafit_Biofum,9.9,12.9,59.1,854,,9.1,4.9,1470,19,48,1.1,44,94,3.6,200,1,182,7,113,21,480,2.6,420,5.4,0.2,4.9,91,2.1,232,3995,9,86,3020,4,,14
16S.2016.H12.S48,haar/hoefmeel,keratin,Hair_meal,29.6,23.7,32.1,678,5.657255834,3.2,24,1380,18,49,3,59,101,2.2,260,8,159,25,212,21,870,3.1,1500,5.5,0.2,4.3,68,2.1,342,3535,7,89,3020,4,,14
16S.2017.H12.S48,haar/hoefmeel,keratin,Hair_meal,7.9,9.5,35.6,676,,3.4,24.4,1190,19,40,1.2,42,49,1.6,180,2,163,8,113,21,470,2.6,1150,5.3,0.2,4,62,2.1,849,3185,13,83,3020,4,,9
208-ITS28S.2016.A01.S1,controle,control,control,25.7,20.4,3.6,346,2.621953231,,,530,21,15,2.3,23,35,1.3,250,17,26,6,81,21,250,2.6,180,7.1,0.7,1.9,45,2.1,29,2940,3,94,6690,4,1,20
208-ITS28S.2016.A02.S2,controle,control,control,39.6,8.2,1.9,354,4.537351938,,,620,19,21,2.3,27,40,1.4,280,20,26,5,83,21,250,2.6,150,7.2,0.9,2,49,2.1,28,3250,5,92,7030,4,1.8,19
208-ITS28S.2016.A03.S3,controle,control,control,26.3,13.5,0.7,366,2.509957464,,,590,19,20,2.5,26,36,1.7,230,15,23,6,76,21,250,2.6,190,7.1,0.8,1.9,48,2.1,29,3110,3,94,8140,4,1,18
208-ITS28S.2016.A04.S4,controle,control,control,26.1,12.4,2.5,362,2.014106945,,,580,20,19,2.4,24,36,1.7,260,17,24,6,76,21,250,2.6,170,7.2,0.8,2,48,2.1,28,3145,4,93,7280,4,0.8,20
208-ITS28S.2016.A05.S5,fase3eind,manure-chitin,Mushroom_compost,109,30.7,41.2,834,14.32970622,13.5,35.4,560,19,19,8.1,29,279,3.3,780,45,49,33,141,102,1350,5.8,430,6.8,0.6,1.8,51,4.4,1604,3195,0,98,11120,4,5.7,2
208-ITS28S.2016.A06.S6,fase3eind,manure-chitin,Mushroom_compost,92.5,19,46.8,494,11.28249653,13.5,35.4,850,16,38,6.8,30,241,3.3,490,38,46,30,122,79,800,3.8,350,6.7,1.1,2.4,53,2.6,1402,3170,4,93,11270,4,4.5,1
208-ITS28S.2016.A07.S7,fase3eind,manure-chitin,Mushroom_compost,171.3,7.7,46.3,624,13.20792569,13.5,35.4,780,13,44,7.8,33,282,4.2,410,34,53,35,145,118,1240,4.6,350,6.8,0.5,1.8,52,4.6,1404,3060,4,94,8620,6,5.3,0
208-ITS28S.2016.A08.S8,fase3eind,manure-chitin,Mushroom_compost,184.3,21.5,36.7,830,15.41620638,13.5,35.4,850,14,44,5.9,32,223,3.3,480,39,40,26,86,158,1600,6.4,350,6.9,1.5,2.1,52,5.5,1417,3200,2,94,8840,5,6.2,1
208-ITS28S.2016.A09.S9,Biophosphate,manure,Biophosphate,25.7,19.1,36.8,911,6.927959968,15.9,13.1,1550,18,55,11.8,95,180,3.6,260,6,236,61,298,20,840,2.6,1140,5.9,0.2,4.9,85,2.1,361,3930,9,86,3020,4,2.771183987,16
208-ITS28S.2016.A10.S10,Biophosphate,manure,Biophosphate,28.5,9.2,42.5,912,11.05453797,15.9,13.1,1360,21,35,16.9,84,179,4.1,300,10,242,62,315,22,1210,2.6,1330,5.9,0.2,4.9,84,2,490,3800,6,88,3020,4,4.421815188,13
208-ITS28S.2016.A11.S11,Biophosphate,manure,Biophosphate,25.8,16.3,22.3,797,8.956311211,15.9,13.1,1580,18,55,13.8,87,189,4.8,240,4,245,66,313,20,1090,2.5,1440,6.3,0.2,4.9,93,2.2,541,4250,5,89,3020,4,3.582524484,16
208-ITS28S.2016.A12.S12,Biophosphate,manure,Biophosphate,23,18.7,51.3,745,15.79496502,15.9,13.1,1540,18,54,13.4,82,183,4.9,310,11,238,60,320,21,990,2.6,1280,6.2,0.2,4.8,92,2.1,362,4135,4,89,3020,4,6.31798601,22
208-ITS28S.2016.B01.S13,CaNO3,control,Control+N,16.2,8,-3.3,368,2.329608394,,,870,13,46,2.4,25,35,0.6,290,21,22,6,90,21,250,2.6,230,7.1,0.7,1.9,57,2.1,657,3940,3,93,6600,4,0.9,17
208-ITS28S.2016.B02.S14,CaNO3,control,Control+N,15.9,10.9,-4.3,347,1.782408648,,,620,18,24,2.2,26,35,0.6,250,17,21,6,119,21,250,2.6,220,7.1,1.1,1.9,53,2.1,514,3780,3,93,6150,4,0.7,17
208-ITS28S.2016.B03.S15,CaNO3,control,Control+N,22.8,6.7,-4.1,338,1.631141156,,,640,17,27,2.2,24,33,0.7,260,18,22,6,109,21,250,2.6,190,7,1.3,1.9,55,2.1,428,3875,4,93,6280,4,0.7,18
208-ITS28S.2016.B04.S16,CaNO3,control,Control+N,22.1,9.4,-3.2,331,1.614711215,,,650,18,25,2.3,24,33,0.6,270,18,23,6,76,21,630,2.6,190,7.2,0.9,2,53,2.1,142,3725,4,93,6170,4,0.6,17
208-ITS28S.2016.B05.S17,zaadmeel,seeds,Terrafit-Biofum,48.4,15.1,47.4,491,5.900310368,8.5,9.7,740,16,32,1.9,25,62,2.5,330,24,32,6,110,38,410,3.5,220,7,1.2,2,59,2.1,142,3745,3,93,13930,4,2.4,12
208-ITS28S.2016.B06.S18,zaadmeel,seeds,Terrafit-Biofum,10.2,12.9,12,355,2.521130951,8.5,9.7,660,18,25,2.5,25,40,1.9,300,21,27,6,144,22,250,2.6,160,7.3,0.9,2,55,2.1,171,3560,3,94,9720,4,1,22
208-ITS28S.2016.B07.S19,zaadmeel,seeds,Terrafit-Biofum,56.6,20.9,37,491,6.908786769,8.5,9.7,810,15,39,2.9,23,62,2.3,330,24,35,6,156,24,410,2.6,640,7,1.1,2.1,57,2.1,170,3640,5,92,6730,4,2.8,15
208-ITS28S.2016.B08.S20,zaadmeel,seeds,Terrafit-Biofum,37.9,20,40.4,522,9.123914456,8.5,9.7,780,15,37,3.3,26,59,2.5,270,18,36,6,160,27,370,2.6,230,7,0.7,2,55,2.1,313,3505,6,91,7610,4,3.6,2
208-ITS28S.2016.B09.S21,Keratinemengsel,keratin,Keratin_mix,21.7,25.3,19.2,614,5.744913623,3.2,26.6,1480,18,51,3.2,52,114,2.4,280,9,170,26,226,24,1270,4,1740,5.4,0.2,4.5,72,2.1,287,3695,7,89,3150,4,2.297965449,14
208-ITS28S.2016.B10.S22,Keratinemengsel,keratin,Keratin_mix,21.3,21.1,17.5,611,5.374958992,3.2,26.6,1470,18,51,2.5,56,109,1.9,280,9,167,24,223,22,1060,3.5,1580,5.6,0.2,4.5,68,2.1,339,3330,8,88,3020,4,2.149983597,19
208-ITS28S.2016.B11.S23,Keratinemengsel,keratin,Keratin_mix,20.9,12.4,18.1,633,16.63051522,3.2,26.6,1480,17,56,3.5,56,100,1.6,290,11,150,31,201,28,1580,5.3,2150,5.5,0.2,4.3,61,2.1,263,3140,7,89,3630,4,6.652206087,14
208-ITS28S.2016.B12.S24,Keratinemengsel,keratin,Keratin_mix,38.7,16.6,15.3,644,5.039040382,3.2,26.6,1510,17,59,3.2,59,101,2.7,270,8,164,33,199,25,1550,4.8,2010,5.3,0.2,4.5,71,2.1,418,3500,9,87,3020,4,2.015616153,9
208-ITS28S.2016.C01.S25,KeraproSon,keratin,KeraproSon,32.4,14.7,14.5,398,1.954082528,3.4,25.2,730,15,35,1.9,22,41,1.2,240,16,25,6,76,35,270,2.6,190,7.2,0.8,1.9,57,2.1,314,3810,4,93,7450,4,0.8,14
208-ITS28S.2016.C02.S26,KeraproSon,keratin,KeraproSon,23.5,18,19.5,467,3.373703388,3.4,25.2,850,14,44,1.9,22,39,1.4,250,16,25,6,77,45,550,2.6,230,7,0.9,2.1,58,2.1,482,3825,5,92,8480,4,1.3,5
208-ITS28S.2016.C03.S27,KeraproSon,keratin,KeraproSon,22.3,26.2,17.3,433,2.432779826,3.4,25.2,810,14,40,2,26,40,1.2,240,16,28,7,96,47,380,2.6,210,7.1,0.5,1.9,58,2.1,457,3895,5,93,7080,4,1,12
208-ITS28S.2016.C04.S28,KeraproSon,keratin,KeraproSon,32.4,25.8,17,474,3.481108869,3.4,25.2,770,13,42,1.9,25,40,1.3,230,16,25,6,76,46,450,2.6,230,7.1,1,1.7,55,2.1,489,3725,4,93,6810,4,1.4,0
208-ITS28S.2016.C05.S29,biomassavers,plant,Biomass,27.3,36.9,44.8,525,6.095179578,11.1,38.7,630,16,28,5.4,27,214,2.4,270,19,36,34,131,30,700,2.6,230,7.1,0.4,1.7,42,2.1,431,2565,2,96,12220,4,2.4,16
208-ITS28S.2016.C06.S30,biomassavers,plant,Biomass,26.8,13.5,40.5,495,5.39434673,11.1,38.7,620,18,24,6.3,31,224,2.5,310,22,35,41,134,23,390,2.6,220,7,0.5,1.9,42,2.1,457,2540,4,94,10740,4,2.2,10
208-ITS28S.2016.C07.S31,biomassavers,plant,Biomass,25.2,30.9,37.7,515,7.7496147,11.1,38.7,570,18,22,5.4,32,201,2.1,320,24,35,35,115,29,390,2.6,290,7.2,0.4,1.8,39,2.1,430,2440,7,91,12770,4,3.1,19
208-ITS28S.2016.C08.S32,biomassavers,plant,Biomass,31.2,15.8,40.2,505,6.651641785,11.1,38.7,680,15,34,5.8,29,217,1.9,280,21,36,37,117,27,400,2.6,180,7.2,0.5,1.8,43,2.1,602,2755,6,92,12630,4,2.7,11
208-ITS28S.2016.C09.S33,GFTcompost,plant,Compost-1,20.1,12.4,16.8,820,8.367521664,11.8,4,1320,21,34,2.7,60,225,3.4,280,9,161,51,264,21,440,2.6,900,5.8,0.2,4.7,82,2.1,207,4210,7,88,3020,4,3.347008666,21
208-ITS28S.2016.C10.S34,GFTcompost,plant,Compost-1,19.2,13.4,25.3,889,5.08713845,11.8,4,1310,21,34,3.3,64,244,3.8,280,9,168,58,295,21,460,2.6,960,5.8,0.2,4.7,82,2.1,233,4105,6,89,3910,4,2.03485538,19
208-ITS28S.2016.C11.S35,GFTcompost,plant,Compost-1,18.8,13.8,22.9,844,16.94321544,11.8,4,1300,21,33,2.8,62,232,3,220,4,157,55,270,21,420,2.6,870,5.7,0.2,4.6,76,2.1,26,3840,7,88,3030,4,6.777286175,16
208-ITS28S.2016.C12.S36,GFTcompost,plant,Compost-1,17.2,16.4,18.2,808,4.784922299,11.8,4,1480,18,52,3.1,64,235,3.2,270,8,158,57,271,21,430,2.6,900,6,0.2,4.6,75,2.1,234,3855,6,89,3020,4,1.91396892,22
208-ITS28S.2016.D01.S37,KeraproChamplus,keratin,Kerapro_slow_release,30.4,28.4,21.2,422,2.380286246,3.5,19.2,660,18,25,1.9,25,39,1.3,320,23,26,7,85,32,250,2.6,210,7.2,0.9,2,60,2.1,398,3995,7,90,6850,4,1,2
208-ITS28S.2016.D02.S38,KeraproChamplus,keratin,Kerapro_slow_release,28.9,15.5,33.9,464,2.561709694,3.5,19.2,680,16,31,1.9,24,36,1.5,250,17,22,5,76,33,250,2.6,200,7,0.8,1.9,58,2.1,314,3805,5,92,6400,4,1,16
208-ITS28S.2016.D03.S39,KeraproChamplus,keratin,Kerapro_slow_release,15.2,27.4,19.2,473,5.446441972,3.5,19.2,720,15,35,2.1,25,38,1.2,250,17,24,6,100,30,290,2.6,240,7,0.6,1.9,59,2.1,428,3995,6,92,7020,4,2.2,16
208-ITS28S.2016.D04.S40,KeraproChamplus,keratin,Kerapro_slow_release,22.2,11.3,18.1,466,3.581305838,3.5,19.2,640,17,27,1.9,26,40,1.2,300,22,24,6,97,31,270,2.6,200,7,0.9,1.9,57,2.1,285,3855,7,90,6310,4,1.4,10
208-ITS28S.2016.D05.S41,haar_hoefmeel,keratin,hair_meal,18.5,28.4,31.8,412,3.001566146,3.2,24,580,18,22,2.2,24,33,1.7,250,17,22,7,115,34,320,2.6,260,7,0.6,1.8,52,2.1,286,3475,6,92,8150,4,1.2,14
208-ITS28S.2016.D06.S42,haar_hoefmeel,keratin,hair_meal,17.7,28.3,32.3,423,2.615471983,3.2,24,660,18,26,2.7,25,32,1.6,340,25,23,7,116,24,400,3.4,400,7,0.8,2.1,53,2.1,198,3640,5,92,7860,4,1,12
208-ITS28S.2016.D07.S43,haar_hoefmeel,keratin,hair_meal,25.2,17.1,33.6,499,2.663081804,3.2,24,700,17,28,2.5,22,40,1.4,260,17,28,7,119,41,330,2.6,270,7,0.9,2,53,2.1,256,3585,5,92,8280,4,1.065232722,14
208-ITS28S.2016.D08.S44,haar_hoefmeel,keratin,hair_meal,19.6,20,34.7,490,3.099626744,3.2,24,770,16,34,2.6,28,41,1.5,290,20,27,7,144,31,340,2.6,280,7.1,0.6,2.1,50,2.1,283,3215,6,91,8730,4,1.239850698,11
208-ITS28S.2016.D09.S45,groencompost,plant,Compost-2,18.7,15.9,20.4,752,6.298270587,16,8.3,1400,19,45,3.1,62,170,3.1,290,10,156,33,254,21,750,2.6,1020,5.6,0.2,4.6,78,2.1,416,3980,8,87,3210,4,2.519308235,22
208-ITS28S.2016.D10.S46,groencompost,plant,Compost-2,24.8,10.4,20.1,704,6.791358931,16,8.3,1490,17,57,3.1,62,160,3.3,280,10,144,32,219,21,630,2.6,1120,5.7,0.2,4.4,72,2.1,262,3730,9,87,3020,4,2.716543572,19
208-ITS28S.2016.D11.S47,groencompost,plant,Compost-2,17.2,6.5,21.5,744,6.043689135,16,8.3,1340,22,30,3,62,191,3.4,280,7,165,37,288,21,780,3,910,5.8,0.2,5,83,2.1,360,4155,7,87,3350,4,2.417475654,22
208-ITS28S.2016.D12.S48,groencompost,plant,Compost-2,18.3,28.9,25.9,856,5.69608587,16,8.3,1480,18,53,3.3,59,185,2.9,260,7,163,37,289,21,840,6.4,1120,5.6,0.2,4.7,79,2.1,259,4095,8,87,3510,4,2.278434348,16
208-ITS28S.2016.E01.S49,Biophosphate,manure,Biophosphate,16.3,14.7,3,461,3.447432765,15.9,13.1,720,19,25,30.6,55,119,3.5,270,17,98,33,209,23,390,2.6,210,6.8,0.8,2.4,60,2.1,505,3335,0,97,6620,4,1.4,19
208-ITS28S.2016.E02.S50,Biophosphate,manure,Biophosphate,12,14.8,9.5,391,8.680680929,15.9,13.1,770,18,29,39.4,63,130,2.4,330,23,119,38,223,27,370,2.6,240,6.8,0.9,2.4,61,2.1,589,3605,7,90,7710,4,3.5,14
208-ITS28S.2016.E03.S51,Biophosphate,manure,Biophosphate,16.4,14.5,3.9,328,2.47277739,15.9,13.1,590,22,15,32.3,50,114,2.9,330,23,91,29,154,28,330,2.6,220,6.8,1.3,2.2,55,2.1,762,3205,4,93,8910,4,1,15
208-ITS28S.2016.E04.S52,Biophosphate,manure,Biophosphate,18.9,13.4,8.8,389,4.489693147,15.9,13.1,820,16,37,34.5,59,132,3.7,300,20,111,35,194,25,330,2.6,200,6.8,0.9,2.3,56,2.1,450,3115,5,92,7210,4,1.8,20
208-ITS28S.2016.E05.S53,controle,control,control,36.8,9.3,12.1,667,2.88946143,,,1310,19,42,2.9,58,110,2.3,240,7,140,31,180,21,640,2.8,1440,5.5,0.2,4.2,66,2.1,316,3525,8,88,3030,4,1.155784572,18
208-ITS28S.2016.E06.S54,controle,control,control,23.1,5,11.1,642,3.592299925,,,1380,18,50,2.5,57,113,2.1,250,7,146,32,206,21,520,2.6,2170,5.5,0.2,4.4,75,2.1,131,4110,9,87,3030,4,1.43691997,17
208-ITS28S.2016.E07.S55,controle,control,control,28.6,3.8,10.8,628,3.648589151,,,1250,20,37,3.2,56,110,2.2,250,7,149,30,208,21,480,2.6,1470,5.5,0.2,4.3,70,2.1,342,3665,9,87,3020,4,1.459435661,16
208-ITS28S.2016.E08.S56,controle,control,control,32.6,3.9,12.7,654,5.655758888,,,1200,20,35,2.1,55,102,2.2,240,7,149,20,198,21,390,2.6,1010,5.6,0.2,4.1,66,2.1,132,3480,7,89,3020,4,2.262303555,16
208-ITS28S.2016.E09.S57,fase3eind,manure-chitin,Mushroom_compost,173.5,8.9,45.7,1071,15.77254166,13.5,35.4,1480,17,57,3.8,61,358,4,430,23,180,57,244,38,1530,4,1100,5.9,0.2,4.4,83,8.2,995,4415,10,86,3230,4,6.309016665,9
208-ITS28S.2016.E10.S58,fase3eind,manure-chitin,Mushroom_compost,151.3,13.2,42.7,1186,18.01528934,13.5,35.4,1560,17,60,4.3,63,379,3.3,370,17,186,57,248,49,1500,4.3,1170,6,0.2,4.6,79,7.8,859,4020,7,88,4180,4,7.206115736,8
208-ITS28S.2016.E11.S59,fase3eind,manure-chitin,Mushroom_compost,172.3,12.6,46,1143,17.21443719,13.5,35.4,1450,18,50,4.4,61,386,4.2,370,18,191,57,251,56,1720,5.1,1210,5.9,0.2,4.4,78,8,759,4035,9,87,4890,4,6.885774875,17
208-ITS28S.2016.E12.S60,fase3eind,manure-chitin,Mushroom_compost,131.1,20.2,44.9,1174,15.76714711,13.5,35.4,1620,17,62,5,61,374,3.9,400,18,187,55,251,45,1870,5.4,1300,5.9,0.2,4.8,77,8.5,827,3860,6,89,4280,4,6.306858845,5
208-ITS28S.2016.F01.S61,Keratinemengsel,keratin,Keratin_mix,19.5,31,51.5,334,2.153399069,3.2,26.6,620,17,26,2.7,26,37,1,250,17,25,6,76,37,250,2.6,200,7,1.1,1.8,53,2.1,544,3600,6,91,6640,4,0.9,4
208-ITS28S.2016.F02.S62,Keratinemengsel,keratin,Keratin_mix,21.6,10.1,10,339,3.750929323,3.2,26.6,920,13,48,2.4,26,39,1.4,440,35,27,7,76,41,250,2.6,180,7,0.7,2,54,2.1,626,3415,2,95,7200,4,1.5,2
208-ITS28S.2016.F03.S63,Keratinemengsel,keratin,Keratin_mix,26.1,26,52,449,2.526406839,3.2,26.6,680,15,34,2.3,25,38,1.5,220,15,30,8,89,38,250,2.6,180,7,0.5,1.8,50,2.1,286,3280,4,94,7140,4,1,18
208-ITS28S.2016.F04.S64,Keratinemengsel,keratin,Keratin_mix,19.7,15,16.8,466,4.253678806,3.2,26.6,780,14,40,2.2,26,37,1.3,320,24,26,7,80,36,250,2.6,170,7,0.8,1.9,56,2.1,514,3725,4,93,7020,4,1.7,5
208-ITS28S.2016.F05.S65,CaNO3,control,Control+N,23.5,15.9,12.1,623,5.713461049,,,1290,20,38,2.6,61,148,2.2,220,4,169,34,257,21,360,2.6,1220,5.8,0.2,4.5,81,2.1,522,4440,7,89,3030,4,2.28538442,20
208-ITS28S.2016.F06.S66,CaNO3,control,Control+N,31.3,8.4,16.5,619,6.120904806,,,1420,18,51,2.6,60,147,2,260,8,184,37,260,21,420,2.6,1070,5.7,0.2,4.5,83,2.1,418,4570,9,87,3020,4,2.448361922,7
208-ITS28S.2016.F07.S67,CaNO3,control,Control+N,32.1,2.3,12,638,5.465270247,,,1290,20,38,2.6,57,149,2,230,5,183,37,248,21,470,2.6,1150,5.8,0.2,4.4,76,2,471,3995,7,89,3020,4,2.186108099,15
208-ITS28S.2016.F08.S68,CaNO3,control,Control+N,23,5.7,13.2,679,5.501635393,,,1370,19,43,2.8,61,154,2,260,8,174,37,248,21,470,2.6,1180,5.7,0.2,4.4,74,2.1,367,3795,6,90,3020,4,2.200654157,11
208-ITS28S.2016.F09.S69,zaadmeel,seeds,Terrafit-Biofum,43.9,17.9,43.1,778,9.519387456,8.5,9.7,1350,18,49,3.3,58,150,2.4,260,8,175,28,216,21,1030,3.5,1380,5.6,0.2,4.3,71,2.1,342,3680,8,88,3020,4,3.807754982,15
208-ITS28S.2016.F10.S70,zaadmeel,seeds,Terrafit-Biofum,74.8,19.3,37,697,12.05119931,8.5,9.7,1400,19,44,3,58,148,2.3,270,8,171,25,210,21,1160,3.7,1440,5.6,0.2,4.5,72,2.1,339,3395,8,88,3020,4,4.820479724,15
208-ITS28S.2016.F11.S71,zaadmeel,seeds,Terrafit-Biofum,50,16.8,46.8,750,13.02998559,8.5,9.7,1610,16,67,2.9,58,154,2.4,260,8,159,26,219,21,1100,4.3,1180,5.7,0.2,4.5,74,2.1,313,3655,8,88,3020,4,5.211994236,17
208-ITS28S.2016.F12.S72,zaadmeel,seeds,Terrafit-Biofum,47.4,21.2,43.7,741,7.999239526,8.5,9.7,1400,18,50,3.1,56,140,2.5,270,9,162,27,214,21,990,3.7,1340,5.7,0.2,4.4,68,2.1,367,3405,9,87,3020,4,3.199695811,14
208-ITS28S.2016.G01.S73,GFTcompost,plant,Compost-1,6.8,11.4,11.2,461,2.645757161,11.8,4,880,15,42,3.8,44,174,2.7,270,17,47,34,212,28,250,2.6,160,7.2,0.7,2.3,59,2.1,338,3475,2,95,8450,6,1.1,15
