Feature_ID,Taxon,Confidence
OTU41,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU42,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_6__ ,1.0
OTU43,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_6__ ,1.0
OTU44,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU45,D_0__Fungi;D_1__Ascomycota;D_2__Orbiliomycetes;D_3__Orbiliales;D_4__Orbiliaceae;D_5__Arthrobotrys;D_6__Arthrobotrys oligospora,1.0
OTU46,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Rhizopodaceae;D_5__Rhizopus;D_6__Rhizopus arrhizus,1.0
OTU47,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Myxotrichaceae;D_5__Oidiodendron;D_6__ ,1.0
OTU48,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Onygenales;D_4__Arthrodermataceae;D_6__ ,1.0
OTU49,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU50,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascobolaceae;D_5__Ascobolus;D_6__ ,1.0
OTU51,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU52,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_6__ ,1.0
OTU53,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascodesmidaceae;D_5__Cephaliophora;D_6__ ,1.0
OTU54,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU55,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__ ,1.0
OTU56,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_5__Podospora;D_6__ ,1.0
OTU57,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Sordariaceae;D_6__ ,1.0
OTU58,D_0__Fungi;D_6__ ,1.0
OTU59,D_0__Fungi;D_6__ ,1.0
OTU60,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU61,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_6__ ,1.0
OTU62,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_6__ ,1.0
OTU63,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Sporormiaceae;D_5__Westerdykella;D_6__ ,1.0
OTU64,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU65,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Chaetothyriales;D_4__Herpotrichiellaceae;D_5__Exophiala;D_6__ ,1.0
OTU66,D_0__Fungi;D_6__ ,1.0
OTU67,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_6__ ,1.0
OTU68,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Trichosporonales;D_4__Trichosporonaceae;D_6__ ,1.0
OTU69,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_5__Plectosphaerella;D_6__Plectosphaerella cucumerina,1.0
OTU70,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Cystofilobasidiales;D_4__Cystofilobasidiaceae;D_5__Cystofilobasidium;D_6__Cystofilobasidium macerans,1.0
OTU71,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_6__ ,1.0
OTU72,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascodesmidaceae;D_5__Cephaliophora;D_6__ ,1.0
OTU73,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Didymosphaeriaceae;D_5__Paraconiothyrium;D_6__ ,1.0
OTU74,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Helotiaceae;D_5__Tetracladium;D_6__ ,1.0
OTU75,D_0__Fungi;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Lipomycetaceae;D_5__Lipomyces;D_6__Lipomyces lipofer,1.0
OTU76,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__ ,1.0
OTU77,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_5__Plectosphaerella;D_6__Plectosphaerella cucumerina,1.0
OTU78,D_0__Fungi;D_6__ ,1.0
OTU79,D_0__Fungi;D_6__ ,1.0
OTU80,D_0__Fungi;D_6__ ,1.0
OTU81,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_6__ ,1.0
OTU82,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_6__ ,1.0
OTU83,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Hypocreaceae;D_5__Trichoderma;D_6__ ,1.0
OTU84,D_0__Fungi;D_6__ ,1.0
OTU85,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Eurotiales;D_4__Thermoascaceae;D_5__Byssochlamys;D_6__Byssochlamys lagunculariae,1.0
OTU86,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Trichosporonales;D_4__Trichosporonaceae;D_6__ ,1.0
OTU87,D_0__Fungi;D_6__ ,1.0
OTU88,D_0__Fungi;D_6__ ,1.0
OTU89,D_0__Fungi;D_6__ ,1.0
OTU90,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Torulaceae;D_5__Dendryphion;D_6__ ,1.0
OTU91,D_0__Fungi;D_6__ ,1.0
OTU92,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_6__ ,1.0
OTU93,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Hypocreaceae;D_5__Trichoderma;D_6__Trichoderma hamatum,1.0
OTU94,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Holtermanniales;D_4__Incertae sedis;D_5__Holtermanniella;D_6__Holtermanniella takashimae,1.0
OTU95,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU96,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Chaetothyriales;D_4__Herpotrichiellaceae;D_5__Exophiala;D_6__ ,1.0
OTU97,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_6__ ,1.0
OTU98,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Phaeosphaeriaceae;D_5__Ophiosphaerella;D_6__ ,1.0
OTU99,D_0__Fungi;D_6__ ,1.0
OTU100,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Filobasidiales;D_4__Piskurozymaceae;D_5__Solicoccozyma;D_6__ ,1.0
OTU101,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU102,D_0__Fungi;D_6__ ,1.0
OTU104,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU105,D_0__Fungi;D_1__Basidiomycota;D_2__Agaricomycetes;D_3__Agaricales;D_4__Agaricaceae;D_5__Coprinus;D_6__Coprinus cordisporus,1.0
OTU106,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella alpina,1.0
OTU107,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__ ,1.0
OTU108,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU109,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusicolla;D_6__ ,1.0
OTU110,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Rhynchogastremataceae;D_5__Papiliotrema;D_6__Papiliotrema terrestris,1.0
OTU111,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_5__Podospora;D_6__ ,1.0
OTU112,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_6__ ,1.0
OTU113,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_6__ ,1.0
OTU114,D_0__Fungi;D_6__ ,1.0
OTU115,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Incertae sedis;D_5__Cadophora;D_6__ ,1.0
OTU116,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Pyronemataceae;D_6__ ,1.0
OTU117,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Filobasidiales;D_4__Filobasidiaceae;D_5__Naganishia;D_6__Naganishia randhawae,1.0
OTU118,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_6__ ,1.0
OTU119,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella humilis,1.0
OTU120,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Cystofilobasidiales;D_4__Cystofilobasidiaceae;D_5__Cystofilobasidium;D_6__Cystofilobasidium macerans,1.0
OTU121,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Stachybotryaceae;D_6__ ,1.0
OTU122,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Helotiaceae;D_5__Tetracladium;D_6__ ,1.0
OTU123,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Didymellaceae;D_6__ ,1.0
OTU124,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU125,D_0__Fungi;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Phaffomycetaceae;D_5__Barnettozyma;D_6__Barnettozyma californica,1.0
OTU126,D_0__Fungi;D_6__ ,1.0
OTU127,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU128,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_6__ ,1.0
OTU129,D_0__Fungi;D_6__ ,1.0
OTU130,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_6__ ,1.0
OTU131,D_0__Fungi;D_6__ ,1.0
OTU132,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__ ,1.0
OTU133,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascodesmidaceae;D_5__Cephaliophora;D_6__ ,1.0
OTU134,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU135,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__ ,1.0
OTU136,D_0__Fungi;D_6__ ,1.0
OTU137,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_6__ ,1.0
OTU138,D_0__Fungi;D_6__ ,1.0
OTU139,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Sordariaceae;D_6__ ,1.0
OTU140,D_0__Fungi;D_6__ ,1.0
OTU141,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Bulleribasidiaceae;D_5__Vishniacozyma;D_6__ ,1.0
OTU142,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Incertae sedis;D_5__Chalara;D_6__ ,1.0
OTU143,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_6__ ,1.0
OTU144,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Pyronemataceae;D_6__ ,1.0
